Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9596740712020441,1,1,86,-0.9816754877591304
0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9404697022531111,1,1,67,-1.4364617989116963
0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6451859741727949,1,1,86,0.821408530249091
0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3373492744317471,1,1,84,0.5094826030831118
1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2160043388136705,1,1,89,0.7943580433403883
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.774164281952812,1,1,78,1.2888747571401113
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.9899154337997889,1,1,100,0.8729735209188058
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9985242888458623,1,1,92,0.3649315636647312
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0892334297634156,1,1,77,1.1739101877781244
1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9940874173990399,1,1,97,-1.2555616677097463
0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5248385954261489,1,1,74,-1.1651116021087713
1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.8675151742344638,1,1,66,-1.6452577447382462
1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,1.3822264942192488,0.559501882595035,1,1,65,-1.2335831470964254
0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,1.099721004191008,-0.5194083945509333,1,1,70,1.0766975004499737
0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9437808003477547,1,1,90,1.002308661451041
0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,1.141265929195161,-0.3776933961001872,1,1,82,-1.2124499541990013
0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628361338618,-0.7278309826150992,1,1,69,0.7622355901363036
1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.2337047769577859,1,1,81,-1.032395150712948
0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,0.9850570111795457,-0.6289615935090412,1,1,96,0.9896287457125866
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,0.48485611412954227,-0.9723886878854755,1,1,87,-1.6207432409772342
0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,0.34526516611558833,-0.7880488199630175,1,1,70,-0.7973940456935925
0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,0.47156173812821356,-0.5980138633177725,1,1,86,1.1882807589483728
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,-1.4527991880641573,-0.957157636650115,1,1,66,-1.5184585873537018
0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,1.1213243651931677,0.10268071547070626,1,1,88,0.7918220601926973
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675231376,2.3530574985015806,1,1,86,0.5356877622759176
1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,1.0631614701873533,1.3054481353436427,1,1,75,0.6371270881835531
0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,0.39013368512007346,0.2588100276268009,1,1,67,-1.3586916490491758
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872601989819,-0.5373986941984968,1,1,87,1.3505836804005897
1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,0.32033821111309646,-0.9060784300434129,1,1,76,0.012429906135697747
0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,0.44164939212522314,-0.06464010824528367,1,1,95,0.20093798678072042
0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,-0.2047896409393986,-0.3440305654713106,1,1,99,-0.17776882994111887
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,-0.9742016520163136,-0.9917696487327894,1,1,80,-1.7745928852704813
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,-0.6784017859867437,-0.9715498763681658,1,1,76,-1.5471997296941984
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,0.18905624809997262,-0.9763178576244527,1,1,76,-0.3688128937338324
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,0.21232140610229844,-0.7585800469206894,1,1,66,-1.4694295798316779
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,-0.6351950639824246,-0.987266555324074,1,1,73,-1.5218398982172896
1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,1.0049985751815391,-0.7180301322549542,1,1,94,-1.3646089430604544
0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,0.5862257311396761,-0.30442983225937326,1,1,86,1.114737247665337
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,0.20401242110146783,-0.8868961350817778,1,1,75,-0.09577204149911347
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,-0.6468276429835875,0.1630309967424102,1,1,100,0.8822721257936723
0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,1.3174164112127704,-0.9002288234095427,1,1,83,0.2448950280073625
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,1.0000131841810405,1.2000669199847858,1,1,80,-0.061113605147338004
0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,0.32200000811326246,-0.5016167607890484,1,1,99,1.113046592233543
0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,0.3884718881199074,-0.7850909056651358,1,1,81,0.015811216999285598
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,-1.156999322034587,-0.9941977873355281,1,1,95,0.11302390432743631
1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,0.6560212051466532,-0.7148735520713938,1,1,86,-1.9005467149391289
0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,0.4815325201292102,-0.5166491461387304,1,1,73,0.6269831555927896
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,-1.328164413051698,-0.9964714080271831,1,1,94,0.38099279026677346
1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,0.8720548151682491,-0.7729943606260379,1,1,94,-1.7898087841566268
1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,0.50313588113137,-0.9721458740252016,1,1,98,-0.8506496917951012
0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,1.3905354792200795,-0.15339961116902975,1,1,71,-0.537878436913225
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,-0.6235624849812617,-0.9701150671938202,1,1,76,-1.465202941252193
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,0.179085466098976,-0.8889490159004568,1,1,67,-1.8371471362468565
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,-0.4889569279678058,-0.9282407132902275,1,1,82,-0.8506496917951012
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,-0.31779183695069496,-0.983050423750228,1,1,81,-0.6443897291162423
1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,0.6593447991469852,-0.9700709192192251,1,1,66,-1.6198979132613371
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,-0.34438058895335305,-0.9570472667136268,1,1,81,-1.5590343177167558
0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,1.0049985751815391,-0.5128303463362415,1,1,85,1.3353677815144445
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,0.32033821111309646,-0.5331384146500555,1,1,86,0.18234077703098725
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,-0.5388108379727895,-0.9859862640608118,1,1,77,1.0876867607566343
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0.1873944510998066,-0.9424563611098973,1,1,75,1.0876867607566343
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,-0.8163309370005319,-0.9896726199395152,1,1,65,1.206877968698106
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,-0.6700928009859131,-0.9718589121903324,1,1,99,0.40888860489137324
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,-0.7847567939973756,-0.949056483311887,1,1,96,-1.763603624963821
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,1.4005062612210766,-0.4051092883238363,1,1,84,-1.6114446361023675
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,-1.5093002860698053,-0.5219689770774578,1,1,83,0.5779541480707658
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,0.9867188081797118,-0.34025591364341695,1,1,81,-0.4989933619819647
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1.328164413051698,-0.9964714080271831,1,1,73,0.5804901312184567
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0.19404163910047073,-0.9762516356625597,1,1,69,-0.897988043885331
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,0.6859335511496436,-0.830342579625265,1,1,80,-0.6122672759121577
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,1.3390197722149297,1.4758372432940026,1,1,65,0.37084885767600995
1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,1.0099839661820376,-0.22160823191868792,1,1,68,0.20516462536020524
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0.17410007509847744,-0.9765165235101312,1,1,97,-0.25892029066722727
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,0.3236618051134285,-0.739640565819328,1,1,80,-0.04674303397708964
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,-0.6617838159850825,-0.8151998243390949,1,1,83,-0.28681610529182705
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,0.37683930911874425,-0.2512977448339922,1,1,98,-2.013820628869322
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,0.2937494591104381,-0.9749271964247023,1,1,80,-1.5514263682736833
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.8325499783550275,1,1,85,-0.6114219481962607
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,0.33695618111475767,0.009462267112840058,1,1,69,-0.2496216857923607
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,0.5264010391336954,-0.8239631972962517,1,1,69,1.1113559368017492
0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,0.5164302571326987,0.3429119192307483,1,1,81,-1.9690182599267827
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,0.9435120861753926,-0.022456718519524126,1,1,73,-1.849827051985311
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,0.5878875281398422,0.9130609371410787,1,1,83,-0.21242726629289432
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,0.1857326540996401,-0.9460323470521124,1,1,73,-1.4618216303886051
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,0.3020584441112687,-0.7817135856085994,1,1,67,-1.6291965181362038
0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,0.5264010391336954,-0.9386375613074083,1,1,92,-1.4516776977978416
1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,0.36686852711774764,1.3297515953583268,1,1,81,0.42494983149341553
0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,1.3240635992134344,1.0939572630451075,1,1,91,0.7182785489096616
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,1.284180471209448,1.907670656797421,1,1,98,-0.0408257399658109
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,0.8521132511662559,-0.9331632124575977,1,1,76,-0.20566464456571862
1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,0.6659919871476498,-0.8432337882070774,1,1,73,0.4553816292657062
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,-0.7598298389948839,-0.6365329711521264,1,1,97,0.3192838670062952
0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,0.5147684601325326,-0.6339282406510067,1,1,85,-0.6782028377521208
1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,-1.1304105700319294,-0.6519847622604631,1,1,91,-1.2454177351189828
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,1.0548524851865226,-0.7899692568579108,1,1,98,0.8307071351239577
1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,0.6942425361504742,-0.9272915318364296,1,1,73,-0.4415110773009712
0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,1.3356961782145975,0.1256376622602352,1,1,66,-0.6410084182526544
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,-0.4690153639658123,-0.9850591565943116,1,1,76,-1.6647002822038761
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,0.8670694241677506,-0.967311670807022,1,1,81,-0.8252898603181923
1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,-1.4893587220678117,-0.9126123302835097,1,1,80,1.2575976316519237
0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,0.6875953481498096,1.1446612118677495,1,1,100,0.9313011333156962
0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,0.30538203811160125,0.10707343894293335,1,1,94,1.1789821540735062
1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,1.1528985081963241,2.0862933620097945,1,1,80,-0.3214745416436025
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,-1.491020519067978,-0.9986346587823504,1,1,92,-0.8869987835786706
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,-1.5009913010689746,-0.9987671027061362,1,1,95,-0.8050019951366651
1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,0.5513279941361872,-0.9042462890977103,1,1,73,-1.3375584561517517
